"file","function","score","rank"
valueflow.cpp,_ZNK17ValueFlowAnalyzer12analyzeTokenEPK5TokenS2_N8Analyzer9DirectionEb,0.07142857142857142,195
astutils.cpp,_Z18isLikelyStreamReadbPK5Token,0.07142857142857142,195
symboldatabase.cpp,_ZNK14SymbolDatabase22findVariableTypeInBaseEPK5ScopePK5Token,0.07142857142857142,195
valueflow.cpp,_ZZL14truncateValuesNSt7__debug4listIN9ValueFlow5ValueESaIS2_EEEPK9ValueTypeS7_PK8SettingsENKUlRKS2_E_clESC_,0.07142857142857142,195
valueflow.cpp,_ZNK16ConditionHandler17traverseConditionEP9TokenListP14SymbolDatabaseRKSt8functionIFvRKNS_9ConditionEP5TokenPK5ScopeEE,0.07142857142857142,195
forwardanalyzer.cpp,_ZN16ForwardTraversal15updateInnerLoopEP5TokenS1_S1_,0.06666666666666667,207
programmemory.cpp,_ZN18ProgramMemoryState8addStateEPK5TokenRKNSt7__debug13unordered_mapIiN9ValueFlow5ValueESt4hashIiESt8equal_toIiESaISt4pairIKiS6_EEEE,0.06666666666666667,207
library.cpp,_ZNK7Library15getFunctionNameB5cxx11EPK5TokenPb,0.06666666666666667,207
templatesimplifier.cpp,_ZN18TemplateSimplifier24useDefaultArgumentValuesERNS_12TokenAndNameE,0.06666666666666667,207
templatesimplifier.cpp,_ZN18TemplateSimplifier16instantiateMatchEPK5TokenmbPKc,0.06666666666666667,207
valueflow.cpp,_ZL18valueFlowEnumValueP14SymbolDatabasePK8Settings,0.06666666666666667,207
symboldatabase.cpp,_ZN8Function8setFlagsEPK5TokenPK5Scope,0.06666666666666667,207
astutils.cpp,_Z14isLikelyStreambPK5Token,0.06666666666666667,207
valueflow.cpp,_ZN23SingleValueFlowAnalyzer15lowerToPossibleEv,0.06666666666666667,207
token.cpp,_Z18findLambdaEndScopeP5Token,0.06666666666666667,207
symboldatabase.cpp,_ZN5Scope7addEnumEPK5Tokenb,0.06666666666666667,207
symboldatabase.cpp,_ZNK5Scope8findTypeERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,0.06666666666666667,207
tokenlist.cpp,_ZN9TokenList8addtokenENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEPK5Token,0.0625,220
tokenlist.cpp,_ZN9TokenList8addtokenEPK5Token,0.0625,220
templatesimplifier.cpp,_ZN18TemplateSimplifier14removeTemplateEP5Token,0.0625,220
templatesimplifier.cpp,_ZN18TemplateSimplifier23getTemplateDeclarationsEv,0.0625,220
templatesimplifier.cpp,_ZN18TemplateSimplifier24useDefaultArgumentValuesEv,0.0625,220
